Unnamed: 0,Coluna_0,Coluna_1,Coluna_2,Coluna_3,Coluna_4,Coluna_5,Coluna_7,Coluna_8,Coluna_11,Coluna_12
56521,2017,1,12,22,11,17,-20.08012,-43.81634,0,-3
56691,2017,1,12,22,13,22,-20.10694,-43.91559,0,3
57166,2017,1,12,22,21,22,-19.92068,-43.87904,0,3
57321,2017,1,12,22,23,58,-19.99153,-44.18887,0,-3
59031,2017,1,12,22,2,59,-19.86328,-44.06265,0,3
59119,2017,1,12,22,3,56,-19.96614,-43.82927,0,3
59267,2017,1,12,22,5,42,-19.92748,-43.93204,0,-3
60496,2017,1,12,23,42,15,-19.90885,-44.55382,0,-3
63025,2017,1,12,3,25,8,-19.82492,-44.424,0,3
1460,2017,11,16,17,36,23,-20.21087,-43.72924,0,3
3377,2017,11,16,19,11,17,-20.37136,-43.86822,0,-3
3738,2017,11,16,19,24,20,-20.30487,-44.04686,0,-3
3841,2017,11,16,19,28,30,-20.27562,-43.84618,0,-3
3869,2017,11,16,19,29,7,-20.38737,-43.7484,0,3
4208,2017,11,16,19,43,58,-20.13882,-44.14526,0,-3
4209,2017,11,16,19,43,58,-20.24659,-43.97002,0,-3
4248,2017,11,16,19,45,50,-20.25471,-43.91868,0,-3
4259,2017,11,16,19,46,33,-20.30507,-43.94192,0,-3
4644,2017,11,16,19,8,21,-20.3613,-43.92496,0,3
4669,2017,11,16,19,9,42,-20.24996,-44.04819,0,-3
12663,2017,1,19,18,39,15,-20.26418,-44.14076,0,-3
14278,2017,1,19,18,53,20,-20.33943,-43.85513,0,-3
14708,2017,1,19,18,56,0,-20.36417,-43.90829,0,-3
17491,2017,1,19,19,19,15,-20.32195,-44.01798,0,3
18181,2017,1,19,19,23,1,-20.35161,-44.08858,0,3
18312,2017,1,19,19,24,8,-20.3796,-43.98141,0,3
18355,2017,1,19,19,25,40,-20.34793,-44.05572,0,3
19039,2017,1,19,19,30,38,-20.32913,-43.94949,0,3
20303,2017,1,19,19,40,24,-20.33842,-43.74985,0,-3
20440,2017,1,19,19,41,26,-20.29647,-43.93101,0,-3
20442,2017,1,19,19,41,26,-20.26841,-43.74376,0,-3
20876,2017,1,19,19,44,34,-20.33268,-43.97506,0,3
21130,2017,1,19,19,46,48,-20.34988,-43.79942,0,3
21181,2017,1,19,19,46,8,-20.33406,-43.83712,0,3
21460,2017,1,19,19,49,20,-20.32089,-44.0181,0,-3
22378,2017,1,19,19,58,19,-20.37986,-43.76655,0,3
22640,2017,1,19,19,0,47,-20.2676,-43.9734,0,-3
23143,2017,1,19,19,4,48,-20.3575,-43.86864,0,3
23714,2017,1,19,19,9,39,-20.31508,-43.93977,0,3
24276,2017,1,19,20,15,32,-20.263,-44.18205,0,3
24978,2017,1,19,20,25,23,-20.30592,-44.10938,0,-3
26799,2017,1,19,20,0,17,-20.33867,-43.98286,0,3
27513,2017,1,19,20,8,14,-20.25381,-44.2892,0,3
27612,2017,1,19,20,9,25,-20.33169,-44.16119,0,3
28833,2017,1,19,21,39,44,-20.371,-44.52288,0,3
29845,2017,1,19,21,4,52,-20.32959,-43.98996,0,-3
30907,2017,1,19,22,54,58,-20.14859,-44.516,0,-3
31388,2017,1,19,23,13,25,-20.26229,-44.39122,0,-3
31461,2017,1,19,23,17,20,-20.25316,-44.39761,0,-3
31513,2017,1,19,23,19,4,-20.18582,-44.48239,0,3
31514,2017,1,19,23,19,4,-20.18238,-44.56328,0,3
31541,2017,1,19,23,21,42,-20.19595,-44.52575,0,3
31606,2017,1,19,23,26,11,-20.1282,-44.45778,0,3
31738,2017,1,19,23,37,9,-20.22182,-44.53553,0,3
31780,2017,1,19,23,42,34,-20.25504,-44.45712,0,3
31878,2017,1,19,23,54,22,-20.27166,-44.39837,0,3
31892,2017,1,19,23,56,1,-20.26578,-44.47667,0,3
31893,2017,1,19,23,57,11,-20.26319,-44.60693,0,3
1931,2017,12,9,0,9,51,-20.21755,-44.13261,0,-3
1932,2017,12,9,1,10,34,-20.08747,-44.3343,0,-3
1956,2017,12,9,1,17,7,-20.2608,-43.65064,0,-3
1965,2017,12,9,1,21,37,-20.02116,-44.1586,0,-3
1966,2017,12,9,1,21,38,-19.99013,-44.14972,0,-3
1967,2017,12,9,1,21,52,-20.27236,-43.77133,0,-3
1968,2017,12,9,1,21,4,-19.95608,-44.2058,0,-3
1990,2017,12,9,1,27,47,-19.93402,-44.33807,0,-3
2002,2017,12,9,1,29,52,-20.20421,-43.61475,0,3
2009,2017,12,9,1,32,7,-20.21018,-43.87431,0,-3
2013,2017,12,9,1,33,24,-19.90947,-44.27178,0,-3
2022,2017,12,9,1,35,32,-19.97257,-44.17905,0,-3
2025,2017,12,9,1,35,44,-19.9782,-44.06963,0,-3
2027,2017,12,9,1,36,25,-20.24144,-43.68954,0,3
2028,2017,12,9,1,36,30,-19.97137,-44.11565,0,-3
2033,2017,12,9,1,37,20,-19.9325,-44.16158,0,-3
2035,2017,12,9,1,37,25,-19.9559,-44.26093,0,3
2037,2017,12,9,1,37,45,-19.97582,-44.24207,0,-3
2041,2017,12,9,1,38,46,-19.95596,-44.26772,0,-3
2045,2017,12,9,1,38,59,-20.26754,-43.74356,0,-3
2048,2017,12,9,1,39,47,-19.92078,-44.24457,0,-3
2050,2017,12,9,1,39,49,-20.19016,-43.797,0,-3
2062,2017,12,9,1,42,59,-19.948,-44.09289,0,-3
2075,2017,12,9,1,48,18,-19.91977,-44.26073,0,-3
2077,2017,12,9,1,48,56,-19.94689,-44.19892,0,3
2080,2017,12,9,1,49,14,-19.93668,-44.22778,0,-3
2083,2017,12,9,1,49,52,-19.88663,-44.11366,0,-3
2090,2017,12,9,1,52,1,-19.87116,-44.17185,0,-3
2096,2017,12,9,1,54,41,-19.8404,-44.18565,0,-3
2103,2017,12,9,1,56,4,-19.8596,-44.12089,0,-3
2138,2017,12,9,1,7,50,-19.97005,-44.11588,0,-3
2145,2017,12,9,2,10,57,-19.97765,-43.94909,0,-3
2153,2017,12,9,2,17,28,-19.85746,-44.01674,0,-3
2155,2017,12,9,2,17,52,-19.89695,-43.92112,0,-3
2157,2017,12,9,2,19,54,-19.97749,-43.6441,0,3
2160,2017,12,9,2,20,31,-19.96015,-43.70829,0,-3
2163,2017,12,9,2,22,48,-19.9816,-43.94546,0,-3
2189,2017,12,9,2,40,14,-19.94569,-43.77888,0,-3
2190,2017,12,9,2,40,16,-19.75877,-43.96463,0,-3
2209,2017,12,9,2,5,59,-20.02073,-44.05643,0,-3
2248,2017,12,9,3,51,11,-20.37921,-43.65773,0,-3
2300,2017,12,9,4,47,5,-19.9525,-43.83356,0,-3
2305,2017,12,9,4,50,13,-19.93447,-43.8371,0,-3
2308,2017,12,9,4,50,49,-19.93917,-44.3223,0,-3
2362,2017,12,9,5,58,5,-19.71916,-43.75476,0,3
2380,2017,12,9,6,19,12,-19.65689,-43.93209,0,3
2408,2017,12,9,6,42,44,-19.74699,-43.60977,0,-3
2411,2017,12,9,6,44,46,-19.64565,-43.75477,0,-3
1556,2017,2,25,15,42,46,-20.30922,-43.90274,0,-3
4122,2017,2,25,16,29,38,-20.31876,-44.57505,0,-3
4456,2017,2,25,16,35,16,-20.31423,-44.57191,0,-3
4656,2017,2,25,16,38,22,-20.25319,-44.50174,0,-3
4663,2017,2,25,16,38,24,-20.23696,-43.60228,0,-3
4892,2017,2,25,16,41,8,-20.3055,-44.52831,0,-3
4893,2017,2,25,16,41,8,-20.31969,-44.41473,0,-3
5184,2017,2,25,16,47,31,-20.29678,-43.56754,0,-3
5285,2017,2,25,16,48,6,-20.37361,-44.46931,0,-3
5310,2017,2,25,16,49,35,-20.26155,-43.5731,0,-3
5384,2017,2,25,16,50,43,-20.31752,-44.60694,0,-3
6230,2017,2,25,16,3,44,-20.29605,-43.73517,0,-3
6834,2017,2,25,17,13,41,-20.21708,-43.60198,0,3
6858,2017,2,25,17,13,7,-20.36273,-44.44354,0,3
6913,2017,2,25,17,14,57,-20.32956,-44.51919,0,-3
6928,2017,2,25,17,15,10,-20.35851,-43.60697,0,3
7230,2017,2,25,17,19,45,-20.3878,-44.37607,0,-3
7243,2017,2,25,17,19,57,-20.30225,-44.56834,0,3
7471,2017,2,25,17,23,51,-20.02256,-43.61737,0,3
7757,2017,2,25,17,28,31,-20.38749,-44.33768,0,3
7772,2017,2,25,17,28,45,-20.3357,-44.4885,0,3
8252,2017,2,25,17,35,55,-20.34145,-44.39885,0,3
8565,2017,2,25,17,40,46,-19.76173,-44.5417,0,-3
8748,2017,2,25,17,43,33,-19.73909,-44.64777,0,-3
8760,2017,2,25,17,43,42,-19.72421,-44.60204,0,-3
8780,2017,2,25,17,43,2,-19.70042,-44.60555,0,-3
8964,2017,2,25,17,46,43,-19.72688,-44.66199,0,-3
9216,2017,2,25,17,50,28,-19.7012,-44.56388,0,3
9287,2017,2,25,17,51,10,-20.22929,-43.66272,0,-3
9443,2017,2,25,17,53,26,-19.71,-44.5616,0,-3
9945,2017,2,25,17,59,41,-19.67122,-44.32731,0,-3
10152,2017,2,25,17,2,35,-20.32435,-44.52103,0,3
10163,2017,2,25,17,2,42,-20.27482,-44.61914,0,3
10408,2017,2,25,17,6,11,-20.23021,-43.79291,0,-3
10505,2017,2,25,17,7,42,-20.33243,-44.46308,0,3
10679,2017,2,25,18,10,26,-19.64041,-44.41537,0,3
10699,2017,2,25,18,10,44,-19.72486,-44.45479,0,3
10769,2017,2,25,18,11,42,-19.64709,-44.3206,0,3
10875,2017,2,25,18,12,54,-19.6857,-44.38777,0,3
10965,2017,2,25,18,13,58,-19.70336,-44.36986,0,3
10989,2017,2,25,18,13,7,-19.62325,-44.40731,0,3
11021,2017,2,25,18,14,33,-19.6172,-44.43125,0,3
11099,2017,2,25,18,15,19,-20.04663,-43.9087,0,-3
11589,2017,2,25,18,20,4,-20.04167,-43.87845,0,-3
11667,2017,2,25,18,21,2,-19.6584,-44.31213,0,3
12190,2017,2,25,18,28,50,-19.98104,-43.86297,0,-3
12334,2017,2,25,18,30,55,-19.66437,-44.5058,0,3
13585,2017,2,25,18,50,59,-19.75247,-44.18903,0,3
14098,2017,2,25,18,59,56,-20.1282,-44.1078,0,-3
14376,2017,2,25,18,3,27,-19.75844,-44.48665,0,-3
14416,2017,2,25,18,3,59,-19.64915,-44.3627,0,3
14453,2017,2,25,18,4,31,-19.67268,-44.38549,0,3
14485,2017,2,25,18,4,54,-19.69862,-44.3987,0,3
14546,2017,2,25,18,5,37,-19.74796,-44.44579,0,-3
14589,2017,2,25,18,6,14,-19.65907,-44.3783,0,3
14656,2017,2,25,18,6,57,-19.578,-44.50415,0,3
14682,2017,2,25,18,7,16,-19.73123,-44.44469,0,3
14775,2017,2,25,18,8,39,-19.81258,-44.44456,0,-3
14869,2017,2,25,18,9,41,-19.6534,-44.36974,0,-3
14963,2017,2,25,19,10,47,-19.96292,-43.84223,0,3
15018,2017,2,25,19,11,46,-20.112,-44.11784,0,-3
16159,2017,2,25,19,27,2,-20.01282,-43.94858,0,-3
16199,2017,2,25,19,28,32,-20.05112,-43.72696,0,-3
16270,2017,2,25,19,29,10,-20.24552,-43.74202,0,-3
16360,2017,2,25,19,30,32,-20.04754,-43.89222,0,-3
16430,2017,2,25,19,31,17,-20.05227,-43.58391,0,-3
16483,2017,2,25,19,31,53,-20.24202,-43.72786,0,-3
16491,2017,2,25,19,31,53,-20.25675,-43.83912,0,-3
16638,2017,2,25,19,33,31,-19.98785,-43.68642,0,-3
16880,2017,2,25,19,35,1,-20.22758,-43.80057,0,3
17074,2017,2,25,19,38,23,-19.94864,-43.62517,0,-3
17182,2017,2,25,19,39,50,-19.99015,-43.80479,0,-3
17443,2017,2,25,19,42,1,-20.2797,-43.86966,0,-3
17861,2017,2,25,19,47,59,-19.67396,-43.94633,0,-3
17864,2017,2,25,19,47,0,-20.2133,-43.78878,0,3
17865,2017,2,25,19,47,0,-20.16096,-43.84833,0,-3
17924,2017,2,25,19,48,37,-20.25714,-43.57558,0,-3
17962,2017,2,25,19,48,0,-19.91943,-43.86425,0,-3
18463,2017,2,25,19,54,8,-20.23676,-43.83424,0,-3
18551,2017,2,25,19,55,6,-19.90538,-43.79142,0,3
18740,2017,2,25,19,58,43,-20.27738,-43.71989,0,3
18780,2017,2,25,19,59,21,-19.77541,-43.84985,0,3
18891,2017,2,25,19,0,50,-19.80154,-44.1596,0,-3
18945,2017,2,25,19,1,0,-20.03564,-44.37558,0,-3
19216,2017,2,25,19,6,12,-20.15881,-43.85376,0,-3
19264,2017,2,25,19,6,6,-20.08598,-44.37626,0,-3
